,final_text,Group
3254,laptop screen problem team face problem laptop screen vertical line strip coming screen today refer earlier also facing problem permanent today continue screen kindly look cid sid rohjghit kumghtwar application engineering mailto,19
2154,german call german call,0
3741,retrieving data old new laptop forgot password old laptop submit india office before want transfer data especially engineering_tools could resolving issue,0
831,able view drawing business client able view drawing business client,0
3449,mii uacyltoe hxgaycze lacw duration high loading refresh loaded mii uacyltoe hxgaycze lacw duration high loading refresh loaded,14
874,office pro plus french got corrupted need full office pro plus french got corrupted need full,19
2044,mobile phone changed changed mobile phone information belong personal provide use new mobile phone device mail,0
1913,update required flash player find compatibility check getting launching ethic kindly thru needful cid sid system detail provided quick view cid sid,0
1056,def possibly network def possibly network,33
166,window password reset window password reset,0
863,unlock erp account unlock erp account,0
3522,server error message team one company user sometimes error message think erp server connection issue solution error show error happened accessing server connection stopped error xmgptwho fmcxikqz takeshi asano,9
3171,printer update driver cannot print status printer mapped need driver update however when try update driver update quits half way installation,0
4102,erp access issue bex hana system sid sid sid sid hrp sid enter user user issue dofghbmes transaction code user need working bex describe issue password logon longer possible many failed attempt provide access user,2
1719,cannot add new customer engineering_tool application company cannot adding new customer engineering_tool application happened after downloading new update application cid,25
300,window locked following user window locked user thrydufg,0
5331,collaboration_platform query collaboration_platform query,0
4122,excel hostname team business quality control quality project weekly layered process audi excel kmfg lpa countermeasure total hostname team business quality control quality project weekly layered process audit,0
3025,access company collaboration_platform server usa get error message indicating server busy right try later see attachment review message need additional information reached,0
6223,unable connect vpn sir madam unable access vpn refer message cid,0
2206,remove quote workflow clear quote workflow quote longer exists showing workflow see attached screen shot,13
2670,unable connect vpn helo subject math word see snapshot cid sid,0
1846,consultant unable log citrix attached error screenshot consultant unable log citrix attached error screenshot kindly needful,12
6146,made stand sir number awyw made stand connected network using cmm machine require separate kindly needful,19
2484,erp log blocked able log erp attempt exceed set limit requesting unblock,0
2336,hr_tool etime loading hr_tool etime loading,0
2525,partner rtr team email restriction would like assistance trying change email access approved partner team ergtyic wrtyvis manager internal audit mailto pal sadipta mailto monday september mailto subject partner rtr team email restriction erirtc think sonia able expedite,26
584,ethic log error when try log ethic training click log collaboration_platform site take page select language click english get error say page failed load,0
3546,hostname erp search server server service since hostname erp search server server service since,14
3393,printer printer server hostname right printer add fine when trying print continuously print character symbol when used server hostname print fine printer laserjet tim komar looked,12
2346,upgrade tom karghyuens office newest upgrade tom karghyuen office newest,3
4419,hr_tool portal finance return error when trying run report hr_tool portal finance return error when trying run report,0
2354,hsh reset password aqihfoly xsrkthvf employee name userid manager aqihfoly xsrkthvf hsh panghyiraj shthuihog fyi cid sid,0
4451,printer printing printer printing server hostname error update driver contact,0
6017,access drive pollaurid put ticket access quality assurance drive employee username whalep aerp copied owner drive eozqgims rbmosifh quality manager permission reason,12
3930,business_client log error business_client logon working throwing error seems issue laptop logon working fine when tried system,19
4826,laptop charge network cable working dock laptop charge network cable working dock,19
1670,circuit outage germany company eng get home dmvpn rtr since type outage network _circuit power specify type outage top cert site _no when start scheduled maintenance power _no company power provider power scheduled maintenance network _no company maintain provider maintain ticket site backup circuit backup circuit active site contact notified phone email remote dial equipment reset verified site working backup circuit vendor ticket global_telecom verizon telecom vendor telecom vendor notified gsc cert started additional diagnostics,8
5786,mobile device need contact battery life issue phone loosing charge fast throughout day something battery replaced get new phone,0
1340,request lauacyltoe hxgaycze version outlook update sir laptop currently version microsoft outlook kindly getting lauacyltoe hxgaycze version,0
5535,blade chassis hostname reporting non critical hardware issue blade chassis hostname reporting non critical hardware issue team new functionality feature monitoring_tool provides started monitor wtqdyoinware sensor started receiving alert hostname blade chassis iom sensor turn chassis reporting non critical alert could investigate advise,12
655,window password reset request window password reset request,0
4232,password reset fmeozwng pfneutkg password reset fmeozwng pfneutkg,0
3352,printer setrup printer setup,19
3794,locked global view prtgghj need password reset urgent payroll report must pull locked global view prtgghj need password reset urgent payroll report must pull morning,0
1086,inquiry erp sid maintenance inquiry erp sid maintenance,0
648,termination hwddwwd wdflefrong wdnwe effective approved termination hwddwwd wdflefrong wdnwe effective approved,2
5711,connecting drive computer connecting drive computer done function connect ierfgayt alwjivqg need drive team hostname file hostname connection,0
5503,wireless access point test born born conference room born wireless access point test born born conference room born,24
6452,update hana wesley tomlin wilsfgtjl verboncouer markhty verboma current manager need change mapping chefgtnp mason bengtjamin masonb current manager need change mapping chefgtnp,9
3684,mobile device activated mobile device activated,0
2925,monitor der final check malfunction monitor der final check malfunction,33
4276,could find old email year microsoft outlook till february cid friendly grugermany,0
5930,unable create delivery material material completed aug assign erp supply chain team apo ecc system require synchronization delivery created material needed ship today august,6
5480,attendance_tool password forgotten attendance_tool password user,0
2526,document folder missing document folder missing,0
4085,organisation chart data outlook team look screen shot omfvxjpw htiemzsg appearing outlook org chart remove,2
1487,unable share calendar unable share calendar,0
1079,password reset user nothrdaj password reset user nothrdaj,0
4384,when employee try log mii get following error user authentication failed able scan order usa plant,14
5204,skype call working make skype call hear hear,0
5906,security incident suspicious rpc netbios activity hostname source system name user name location sep status field sale user dsw event log see incident overview detected least occurrence firewall dropping traffic sourcing hostname destined port one destination device activity may indicate one following infection host configured firewall configured host port scan authorized unauthorized escalating incident via high priority ticket phone call default event handling procedure would like handle incident differently future see handling option question concern let know either corresponding via ticket delegating ticket back soc calling ticket escalation alert traffic blocked explicit notification via medium priority ticket phone call automatically resolve alert traffic blocked portal explicit notification event available reporting purpose portal sincerely secureworks soc technical detail historically various worm malware used port propagate example include msblast lovsan nachi port microsoft epmap end point mapper also known dce rpc locator service port netbios netbios name service port netbios netbios datagram service port netbios netbios session service port microsoft smb file sharing additional information port practice found following site reference event data related event event event summary internal outbreak tcp occurrence count event count host connection information source source hostname hostname source port destination port connection directionality internal device information device device name log time utc action blocked score scwx event processing information sherlock rule sle inspector rule inspector event ontology event type agent event detail aug sartlgeo lhqksbdx asa deny tcp src inside dst outside access group acl inside aug sartlgeo lhqksbdx asa inbound tcp connection denied flag syn interface inside aug sartlgeo lhqksbdx asa deny tcp src inside dst outside access group acl inside aug sartlgeo lhqksbdx asa deny tcp src inside dst outside access group acl inside aug sartlgeo lhqksbdx asa deny tcp src inside dst outside access group acl inside aug sartlgeo lhqksbdx asa deny tcp src inside dst outside access group acl inside aug sartlgeo lhqksbdx asa inbound tcp connection denied flag syn interface inside aug sartlgeo lhqksbdx asa deny tcp src inside dst outside access group acl inside aug sartlgeo lhqksbdx asa deny tcp src inside dst outside access group acl inside aug sartlgeo lhqksbdx asa deny tcp src inside dst outside access group acl inside aug sartlgeo lhqksbdx asa deny tcp src inside dst outside access group acl inside aug sartlgeo lhqksbdx asa deny tcp src inside dst outside access group acl inside aug sartlgeo lhqksbdx asa deny tcp src inside dst outside access group acl inside aug sartlgeo lhqksbdx asa deny tcp src inside dst outside access group acl inside aug sartlgeo lhqksbdx asa deny tcp src inside dst outside access group acl inside aug sartlgeo lhqksbdx asa deny tcp src inside dst outside access group acl inside event event summary internal outbreak tcp occurrence count event count host connection information source source hostname hostname source port destination port connection directionality internal device information device device name log time utc action blocked score scwx event processing information sherlock rule sle inspector rule inspector event ontology event type agent event detail aug sartlgeo lhqksbdx asa deny tcp src inside dst outside access group acl inside aug sartlgeo lhqksbdx asa deny tcp src inside dst outside access group acl inside aug sartlgeo lhqksbdx asa deny tcp src inside dst outside access group acl inside aug sartlgeo lhqksbdx asa deny tcp src inside dst outside access group acl inside aug sartlgeo lhqksbdx asa inbound tcp connection denied flag syn interface inside aug sartlgeo lhqksbdx asa deny tcp src inside dst outside access group acl inside aug sartlgeo lhqksbdx asa inbound tcp connection denied flag syn interface inside aug sartlgeo lhqksbdx asa inbound tcp connection denied flag syn interface inside aug sartlgeo lhqksbdx asa deny tcp src inside dst outside access group acl inside aug sartlgeo lhqksbdx asa deny tcp src inside dst outside access group acl inside aug sartlgeo lhqksbdx asa deny tcp src inside dst outside access group acl inside aug sartlgeo lhqksbdx asa deny tcp src inside dst outside access group acl inside aug sartlgeo lhqksbdx asa deny tcp src inside dst outside access group acl inside aug sartlgeo lhqksbdx asa deny tcp src inside dst outside access group acl inside aug sartlgeo lhqksbdx asa deny tcp src inside dst outside access group acl inside aug sartlgeo lhqksbdx asa deny tcp src inside dst outside access group acl inside,2
3043,engineering tool related issue refer screen shot engineering tool related issue after installing software update unable make new customer entry note option button new customer entry appearing kindly resolve problem earliest cid sid deca,25
4444,change date setting citrix multiple user team writing request change date couple citrix user eastern time canada eet eastern european time user date changed eastern time canada eet eastern european time vrtvpopc vvrnrtacri vvrtgffada vvrurtgsur vvrtyjakaa vvrtymitrd vvdeftmea vvbgrtyeleb vvcodgtjud vvggrthhibg could kind perform change let know additional information required side,12
3808,vpn get following error when try start vpn also try install say need admin right cid,0
6561,vip window password reset tifpdchb pedxruyf vip window password reset tifpdchb pedxruyf,0
2939,sid system locked unlock sid system locked unlock user vvhstyap,2
5522,problem expense report trying expense report thru working blank screen pop after click oon expense report link,0
617,erp sid response time slow transaction interrupted erp connection broken constantly transaction interrupted erp connection broken constantly,0
2054,wireless outage taiwan wireless company secure outage taiwan,4
4721,time management germany since clock morgen sind plant germany time booking available sorry den error remedy urgent reason ticket germany plant also germany plant get time account data eu_tool transferred erp hrp problem exists since aug nothing today network problem germany serious month end closing thursday,25
3716,der rechner schichtf hrern gabryltk byczkowski stankewitz malfunction der rechner schichtf hrern gabryltk byczkowski stankewitz malfunction sorry time come round,24
4864,could setup notification list dvw system warning user name yinnrty user system dvw contact phone error message integrity constraint _sbscrptn_tblusers violated parent key found production specification application servera  lhqsid database servera  name oracle gdwp,25
539,hostname disk volume space consumed hostname disk volume space space available,12
2696,unable connect mobile broadband unable connect mobile broadband,0
2183,job bkbackup_tool_reporting_tool_prod_inc failed job_scheduler monitoring_tool error channel error connection reset job bkbackup_tool_reporting_tool_prod_inc failed job_scheduler,8
2490,hr_tool etime hr_tool etime,31
1797,knocked vpn vpn disconnected incoming call,0
5481,issue business_client team facing issue opening business_client getting following error msg cid,0
3199,unable create stock recall form cid sid warm,0
2400,user getting prompt upgrade java user getting prompt upgrade java connected user system using team viewer advised user complete installation issue resolved,0
778,collaboration_platform issue collaboration_platform issue,0
2595,peer certificate rejected chainverifier error godaddy certificate bundle certificate issue installation godaddy certificate bundle proper sid getting peer certificate rejected chainverifier error able deploy uacyltoe hxgaycze functionality dev refer ticket earlier installation,14
1894,need removed profile updated profile new single sign yet still appears affected number outlook well anyone contact list number associated profile employee search outlook see number,2
5877,error log sid system error log sid system verified user detail employee manager name unlocked reset erp daypay caller confirmed able log issue resolved,0
765,folder access requested hostname access directory requested folder access requested hostname user user user die position titel user position title directory folder corp business dev monthly financial review october art access type access read full control,0
5312,mtd revenue detail report another report view often change made reflect territory report missing several distributor see screen shot cid sale manager west coast mailto,9
5380,ticket update checking status completion ticket provide update expected completion date,0
2173,approve primary email jeknosml gkcoltsy crm approve primary email jeknosml gkcoltsy crm prod train email,16
3460,unable get skype call name language browser microsoft internet explorer email customer number telephone summary reason skype call conference room usa campus,0
2306,unable log business client unable log business client prompt log sid account,0
5129,user locked could unlock user teufeae hotline cannot reached,0
852,need changing password password_management_tool password manager need changing password password_management_tool password manager,0
4270,outlook responding outlook responding,0
5169,dell blue screen dell blue screen error user tried recover safe mode restart opetions done service tag sjv asset tag win,3
3370,change ethic change company company mail seems creating problem ethnic site welcome company business ethic conduct center ethic training site record indicate log credential used access site company collaboration_platform match record file within active directory submit ticket global support center ensure network log correctly entered erp make sure access,2
229,skype error logging skype error logging,0
5200,problem vpn client herr vpn use following error message get time coming cid third problem cid user name password war ordnung sorry check sen danke note friendly,0
4697,check router wifi router sao pollaurido mercedes site south_amerirtca bernardo campo mercedes benz team check router wifi sao pollaurido mercedes site company south_amerirtca pollaurido bernardo campo possible connect network wifi company secure network visible user local need connect remotely doubt return,4
4834,install outlook trainee yqwuhzkv icvgkxnt install outlook trainee yqwuhzkv icvgkxnt qbnsrzlv gyqxkbae,33
2292,problem try ship thru pweaver erp tell server unable problem try ship thru pweaver erp tell server unable process request,18
4492,circuit outage usa vpn circuit site primary circuit type outage network _circuit power specify type outage top cert site when start scheduled maintenance power _no company power provider power scheduled maintenance network company maintain provider maintain ticket site backup circuit backup circuit active site contact notified phone email remote dial equipment reset _na verified site working backup circuit vendor ticket global_telecom verizon telecom vendor telecom vendor notified gsc cert started additional diagnostics,8
2342,config server sid uacyltoe hxgaycze environment working properly restart server mill model model sid working correctly starting configuration process scratch run procedure created default characteristic value based selected product platform restart server important training session amerirtcas team cest time today min,14
6138,engineering tool password entered incorrectly part reset password engineering tool erp thank,0
3446,pdf printer want software print document pdf,19
3603,repeat print tip printer repeat print tip printer,31
3825,cable vga defective banknote cable vga defective banknote,24
2530,unable hear audio skype unable hear audio skype,0
5162,network outage company che company switzerland dmvpn rtr backup since est type outage network _circuit power specify type outage top cert site when start est scheduled maintenance power _no company power provider power scheduled maintenance network _no company maintain provider maintain ticket site backup circuit _no backup circuit active _na site contact notified phone email remote dial _no equipment reset _na verified site working backup circuit vendor ticket global_telecom verizon telecom vendor telecom vendor _swisscom notified gsc cert started _naa additional diagnostics,8
2146,remote sid connection open system sid sid sid sid hrp sid enter user user issue copy role kawtidthry transaction code user need working describe issue open sid connection erp provide remote log data erp getting authorized message recreate condition nsu attach result ticketing_tool ticket provide access user,2
2477,engineering_tool new customer addition still error persists cid sid warm,25
2356,wifi working wifi working,0
5803,create password ibm team onsite usa week create password team member usa,0
3486,erp mii hostname service showing critical erp mii hostname service showing critical,14
1922,account locked password reset request account locked password reset request,0
5736,erp sid account lock issue erp sid account lock issue,0
1518,submitted filled engineering_tool system created engineering_tool filled data when click submit button given error message see message detail,25
4705,following block email address company email server,0
5087,blank call number warehouse_tool blank call number warehouse_tool,0
6473,usa training room disassociated controller controller name company wlc alarm usa training room disassociated controller controller name company wlc timestamp august edt device usa training room severity critical,4
1468,need ticket item manufactured plant plant stock plant sept point would expected system automatically moved product plant safety stock forecast advise process working working advise item move supply chain planner strategic sourcing supply planning mailto company technology way usa,6
4671,adding member shared mailbox group adding member shared mailbox group,0
4678,dmitazhw kxbifzoh lock dmitazhw kxbifzoh lock mii system,0
2501,msd outlook showing crm add msd outlook showing crm add connected user system using team viewer deleted reconfigure user profile crm launched outlook user confirmed closing relaunch outlook everything fine issue resolved,0
5319,lean tracker error repeated refer screen shot error cid warm,0
1386,reset pas word reset pas word,0
4656,outlook freezing frequently user called issue outlook freezing frequently,3
3493,vpn issue sir madam able connect vpn address also install new apvpn well,0
5099,log password urgent esprit would like log password partner technology tomorrow possible create aerp,0
210,business client working business client working,0
2554,personal certificate error skype issue personal certificate error skype issue,0
2523,needed finance_app needed finance_app connected user system using team viewer uninstall reinstalled user confirmed able log finance_app issue resolved,0
2779,unable access bex analyzer unable access bex analyzer nothing happens when click name lmdl phone,19
1644,allow access using printer india office allow access using printer india office refer attachment,19
3360,able apply job company portal external user able apply job company portal external user,0
5137,access operating center database ce_cs work access operating center database ce_cs work,0
5309,user unable log erp user unable log erp,0
3508,reactivate temp user sid erp production reset password temp user erp sid erp production,2
4325,working working,0
4233,erp sid erp production password reset name language browser microsoft internet explorer email customer number telephone summary locked erp sid many password attempt tried use know password let may due sid access request ticket,0
1867,change owner collaboration_platform link change owner collaboration_platform link,0
4229,india company tcl circuit packet drop since est site active primary packet drop internet link tcl,4
1132,unable create skype meeting onbehalf tomashtgd mchectg unable create skype meeting behalf tomashtgd mchectg,26
358,collaboration platform deleted information user tgrs yduf accidentally deleted information collaboration_platform yesterday possible recover information,16
4517,email calendar phone replacement company supplied phone set need given access email contact calendar right place make request let know,0
1199,ticket register tax code erp sid already approved email hear nothing could verify status urgency south_amerirtca,10
3757,restoring ppt restoring ppt,0
2979,sfb personal certificate error sfb personal certificate error,0
2369,url portal functioning sir site functioning applying leave kindly support,0
2317,unlock user erp mae server hostname unlock user erp mae server hostname earliest,0
1333,need display link adaptor sim card holder note display link adaptor working kindly arrange replacement also need new data card sim card holder laptop,19
3885,need access collaboration_platform contact,16
850,unable create delivery provide following order number material item number item warehouse location plant issue description error message legal control issue material extended plant plant rqfhiong zkwfqagb team legal control group extend automatically also finished product poland like set like ear problem new material extended plant plant country issue czech republic plant turkey plant material released manually import export manager chrsddiwds dwdbertfsych manually process take lot time export team csrs every day often block invoicing sale tool after test demonstration consignment stock material example release manually petqkjra check problem find root cause solve,6
3870,user want message recall user want message recall,26
3635,change made ticket caused issue delivery printing plant change made ticket caused issue delivery printing plant plant reconditioning facility located plant facility illinois usa change made pick request printing group employee affected entire facility plant group used print delivery note user paramdntyeter delivery note printing office printer near working productive reach resolve soon possible,18
2023,problem opening password_management_tool password manager screenshot message when tried open password_management_tool password manager site morning reset password advise,0
4340,erirtc want see archived mail particular date erirtc want see archived mail particular date,0
5388,log issue password issue log issue password issue,0
3139,terhyury jerhtyua employee usa locked mii unlock verify employee sid access terhyury jerhtyua employee usa locked mii unlock verify employee sid access employee unable report production capture value add data mii,0
5775,kds service tuesday august nwfodmhc exurcwkm kds service johthryugftyson subject team assist create mentioned,6
1338,sorry one order team drive rth invest rden sorry one order team drive rth invest name full access rtgdcoun pngufmvq efodqiuh tpfnzkli rcwpvkyb exgjscql gabryltke sch many dank gabryltke sch human resource mailto company shared service gmbh cut ftsf hrer message allein die use den address certainly information contain die schutzw rdig confidential oder applicable recht der disclosure except sind die distribution distribution oder multiply approval message people around die intended recommended longer act strict verboten message due one see dann notify sorry den sender rule message company,12
5582,erp sid log india cec issue erp sid production system logging automatically happened time,0
1533,erp password change password_management_tool error password change failed old password invalidated gso tried thrgxqsuojr xwbesorfs renew password erp password_management_tool password manager error message error password change failed old password invalidated try using different password failed perform operation reset reset password,0
5373,when opening business_client getting framdntyework installed error see attachment,0
5189,unable log replacement laptop showing connection server unable log replacement laptop showing connection server,0
1598,job bkbackup_tool_reporting_tool_prod_full failed job_scheduler monitoring_tool job bkbackup_tool_reporting_tool_prod_full failed job_scheduler,8
4457,browser issue cannot access company collaboration platform sign hr_tool,0
1663,install printer oziflwma nhgvmqdl install printer oziflwma nhgvmqdl,24
5424,window locked following user window locked user dsilvfgj,0
1893,reset password erp production erp reset password sid erp production sid production,0
4079,reset password supply chain reset password supply chain,0
5681,unable connect network printer unable connect network printer,0
3634,static call static call,0
4800,bex loading environment bex addins showing environment sid sid etc unable add sid installed bex patch bex addins issue happened erp logon also later manually added different environment check got disappear without making change refer screenshot computer name lhql,9
2727,outlook issue outlook getting updated automatically periodically time time need update receive folder issue persists since last wednesday sep system given dept improvement cid sid,26
3912,informed company malaysia office faced problem internet access check confirm needful mail request,4
5543,drive missing machine drive missing,0
2793,need upgrade could confirm upgrade occurred town week upgrade never prompted anything suspect happen need schedule upgrade computer,0
892,distribution list updating distribution list updating removed added back waited time worked fine issue resolved,0
1880,missing email access previously access amerirtcas_hrssc mail box outlook longer available set,0
1673,plant plant eu_tool system running slowly big problem enter production plan plant plant eu_tool system running slowly big problem enter production plan,25
3180,add user maghtyion cnjkeko cekomthyr active directory group eagcutview add user maghtyion cnjkeko cekomthyr active directory group eagcutview,0
1197,msd office specifically outlook outlook slow respond manually refresh update,0
4850,vpn log issue account lock vpn log issue account lock,0
2651,eagsm service security_tool password manager stopped disabled installed target machine eagsm service security_tool password manager stopped disabled installed target machine,2
1129,unable log hub check pay statement unable log hub check pay statement,0
3984,unable print adobe unable print adobe,0
3469,error failed reset cached password locked unlocked new password updated password email access company secure cell phone,0
4302,incident phishing form submit outbound beshryulisted dane williuthyr seeing device generating ipbl phishing form submit outbound beshryulisted alert traffic dane williuthyr external address beshryulisted counter threat unit ctu team due association malware phishing form submit outbound affected asset investigated traffic beshryulisted address may indicate host infected malware escalating incident via medium priority ticket mail notification default event handling procedure would like handle incident differently future see handling option question concern let know either corresponding via ticket delegating ticket back ctoc calling full escalation related event high priority ticket phone call auto resolve event portal explicit notification event available reporting purpose portal sincerely ctoc event data event event summary ipbl phishing form submit outbound beshryulisted occurrence count event count host connection information source source hostname dane williuthyr source mac address destination destination hostname destination geolocation schtrtgoyhtsdale usa connection directionality outgoing device information device device name scwx event processing information sherlock rule sle inspector event agent event detail aug asa built outbound tcp connection outside inside correlation_data aug dhcpd dhcp pack dane williuthyr via eth relay lease duration renew take action ticket action,2
4310,high priority laptop monitor gone bad unable see screen completely beshryu give high priority since user traveling monday service tag,3
4329,email open desktop email open ipad,0
2109,user able access erp sid team need request check user able access erp sid turn blocking approve,0
4431,able call telephone software number germany former germany location when try call telephone software number germany former germany location could hear others hear cannot communicate others uacyltoe hxgaycze location france work normally,7
3275,wireless working wireless working,0
3734,hand scanner ckmeldeterminal malfunction hand scanner ckmeldeterminal malfunction gegen kln,33
1713,erp access issue system sid sid sid sid hrp sid enter user user issue hohlbfgtu describe issue unlock password logon,2
2860,power outage engineering_toolkuznetsk warehouse company interface vlan since engineering_toolkuznetsk warehouse company vlan interface since,8
2807,unable create delivery provide following order number material item number warehouse location plant plant issue description error message message,6
19,unable check payslip unable check payslip,0
6490,password reset supply chain password reset supply chain user ludwidjfft,0
4345,licwu unlock licwu unlock,0
4242,computer name set name new laptop window russia office,33
3792,kicked vpn reconnect vpn stopped working able reconnect after minute,0
6053,business_client issue search material code unavailable searching result via specification,14
4585,window printing issue need driver installed every printer complete successfully window printing issue need driver installed every printer complete successfully print server hostname,12
390,hostname currently experiencing high cpu utilization investigate hostname currently experiencing high cpu utilization investigate,12
3490,bnsh account unlock erp sid bnsh account unlock erp sid,0
1470,password reset microsoft behalf company mailto msonlineservicesteam monday october nwfodmhc exurcwkm tiyhum kuyiomar subject amar request reset microsoft online service password importance high request reset user password following user organization requested password reset performed account first name theydbar last name brrgtyanthet perry consider contacting user validate request authentic before continuing determined valid request use service admin portal office window intune window azure etc reset password user want let user reset password check enable password reset user organization click sincerely company message unmonitored email address reply message,0
